state,year,quarter,entity_name,insurance_amount
andhra-pradesh,2021,2,517507,265432.0
andhra-pradesh,2021,2,530016,204624.0
andhra-pradesh,2021,2,534002,124158.0
andhra-pradesh,2021,2,534006,112884.0
andhra-pradesh,2021,2,515001,168382.0
andhra-pradesh,2021,2,516001,144765.0
andhra-pradesh,2021,2,524002,130466.0
andhra-pradesh,2021,3,520010,246736.0
andhra-pradesh,2021,3,520011,194552.0
andhra-pradesh,2021,3,517507,246665.0
andhra-pradesh,2021,3,516001,218927.0
andhra-pradesh,2021,3,517501,190890.0
andhra-pradesh,2021,3,530026,201084.0
andhra-pradesh,2021,3,520001,185104.0
andhra-pradesh,2021,3,530016,181981.0
andhra-pradesh,2021,3,520007,183730.0
andhra-pradesh,2021,3,524004,154696.0
andhra-pradesh,2021,4,524004,468698.0
andhra-pradesh,2021,4,524002,385590.0
andhra-pradesh,2021,4,517501,394057.0
andhra-pradesh,2021,4,517507,376592.0
andhra-pradesh,2021,4,516001,298417.0
andhra-pradesh,2021,4,530016,386711.0
andhra-pradesh,2021,4,520010,242094.0
andhra-pradesh,2021,4,522001,252587.0
andhra-pradesh,2021,4,530026,269565.0
andhra-pradesh,2021,4,520011,238426.0
andhra-pradesh,2022,1,523001,553651.0
andhra-pradesh,2022,1,523002,422786.0
andhra-pradesh,2022,1,524004,352581.0
andhra-pradesh,2022,1,517507,617403.0
andhra-pradesh,2022,1,517501,477461.0
andhra-pradesh,2022,1,530016,394098.0
andhra-pradesh,2022,1,516001,403725.0
andhra-pradesh,2022,1,530026,312518.0
andhra-pradesh,2022,1,520010,370767.0
andhra-pradesh,2022,1,520007,413180.0
andhra-pradesh,2022,2,520010,411471.0
andhra-pradesh,2022,2,530016,457895.0
andhra-pradesh,2022,2,517507,510705.0
andhra-pradesh,2022,2,517501,390709.0
andhra-pradesh,2022,2,520011,347013.0
andhra-pradesh,2022,2,524002,400810.0
andhra-pradesh,2022,2,516001,354936.0
andhra-pradesh,2022,2,523001,298809.0
andhra-pradesh,2022,2,523002,410402.0
andhra-pradesh,2022,2,520007,355690.0
andhra-pradesh,2022,3,524002,506293.0
andhra-pradesh,2022,3,517507,633331.0
andhra-pradesh,2022,3,517501,602653.0
andhra-pradesh,2022,3,520010,496114.0
andhra-pradesh,2022,3,520011,463855.0
andhra-pradesh,2022,3,516001,510288.0
andhra-pradesh,2022,3,530026,437652.0
andhra-pradesh,2022,3,530016,408060.0
andhra-pradesh,2022,3,520001,343460.0
andhra-pradesh,2022,3,524004,408836.0
andhra-pradesh,2022,4,517507,856272.0
andhra-pradesh,2022,4,516001,602897.0
andhra-pradesh,2022,4,517501,549451.0
andhra-pradesh,2022,4,523002,441856.0
andhra-pradesh,2022,4,530016,650737.0
andhra-pradesh,2022,4,517326,288926.0
andhra-pradesh,2022,4,524002,588408.0
andhra-pradesh,2022,4,520011,432671.0
andhra-pradesh,2022,4,522001,369435.0
andhra-pradesh,2022,4,530026,458462.0
andhra-pradesh,2023,1,517507,848915.0
andhra-pradesh,2023,1,530016,635433.0
andhra-pradesh,2023,1,517501,788976.0
andhra-pradesh,2023,1,520011,518326.0
andhra-pradesh,2023,1,516001,538812.0
andhra-pradesh,2023,1,524002,483768.0
andhra-pradesh,2023,1,520010,446022.0
andhra-pradesh,2023,1,530026,455958.0
andhra-pradesh,2023,1,520012,481246.0
andhra-pradesh,2023,1,520007,417747.0
andhra-pradesh,2023,2,517507,969092.0
andhra-pradesh,2023,2,517501,696700.0
andhra-pradesh,2023,2,520010,547680.0
andhra-pradesh,2023,2,530016,526796.0
andhra-pradesh,2023,2,520007,549179.0
andhra-pradesh,2023,2,524002,546644.0
andhra-pradesh,2023,2,520011,443320.0
andhra-pradesh,2023,2,520001,377868.0
andhra-pradesh,2023,2,524004,636260.0
andhra-pradesh,2023,2,516001,505187.0
andhra-pradesh,2023,3,517507,926705.0
andhra-pradesh,2023,3,517501,770236.0
andhra-pradesh,2023,3,530016,720125.0
andhra-pradesh,2023,3,520010,663947.0
andhra-pradesh,2023,3,520007,675611.0
andhra-pradesh,2023,3,520011,479426.0
andhra-pradesh,2023,3,530026,483441.0
andhra-pradesh,2023,3,524002,536352.0
andhra-pradesh,2023,3,524004,581425.0
andhra-pradesh,2023,3,516001,534212.0
andhra-pradesh,2023,4,530016,837356.0
andhra-pradesh,2023,4,517507,1066470.0
andhra-pradesh,2023,4,530026,565504.0
andhra-pradesh,2023,4,517501,752992.0
andhra-pradesh,2023,4,524002,553778.0
andhra-pradesh,2023,4,520011,463576.0
andhra-pradesh,2023,4,520007,516110.0
andhra-pradesh,2023,4,520010,513516.0
andhra-pradesh,2023,4,530046,607798.0
andhra-pradesh,2023,4,520001,418525.0
andhra-pradesh,2024,1,530016,763795.0
andhra-pradesh,2024,1,517507,915457.0
andhra-pradesh,2024,1,517501,749467.0
andhra-pradesh,2024,1,520010,529119.0
andhra-pradesh,2024,1,530026,524957.0
andhra-pradesh,2024,1,517326,244562.0
andhra-pradesh,2024,1,520007,691745.0
andhra-pradesh,2024,1,524002,666708.0
andhra-pradesh,2024,1,530046,614874.0
andhra-pradesh,2024,1,520011,445394.0
andhra-pradesh,2024,2,530016,878988.0
andhra-pradesh,2024,2,517507,883412.0
andhra-pradesh,2024,2,517501,775196.0
andhra-pradesh,2024,2,530014,347441.0
andhra-pradesh,2024,2,524002,646264.0
andhra-pradesh,2024,2,530026,395729.0
andhra-pradesh,2024,2,520010,511790.0
andhra-pradesh,2024,2,530046,611203.0
andhra-pradesh,2024,2,524004,574695.0
andhra-pradesh,2024,2,520007,541505.0
andhra-pradesh,2024,3,517501,1419641.0
andhra-pradesh,2024,3,520007,985453.0
andhra-pradesh,2024,3,530016,845789.0
andhra-pradesh,2024,3,530026,723683.0
andhra-pradesh,2024,3,520003,699162.0
andhra-pradesh,2024,3,520010,767188.0
andhra-pradesh,2024,3,533005,834104.0
andhra-pradesh,2024,3,524002,590274.0
andhra-pradesh,2024,3,530046,675824.0
andhra-pradesh,2024,3,517507,701647.0
andhra-pradesh,2024,4,517501,1356884.0
andhra-pradesh,2024,4,520010,1098456.0
andhra-pradesh,2024,4,520007,1109088.0
andhra-pradesh,2024,4,520003,829766.0
andhra-pradesh,2024,4,530026,867397.0
andhra-pradesh,2024,4,530016,880040.0
andhra-pradesh,2024,4,523001,752920.0
andhra-pradesh,2024,4,524002,807213.0
andhra-pradesh,2024,4,530046,794395.0
andhra-pradesh,2024,4,520001,521557.0
arunachal-pradesh,2020,2,791113,3445.0
arunachal-pradesh,2020,2,791110,1304.0
arunachal-pradesh,2020,2,791001,1124.0
arunachal-pradesh,2020,2,792056,1064.0
arunachal-pradesh,2020,2,792130,744.0
arunachal-pradesh,2020,2,791109,811.0
arunachal-pradesh,2020,2,792120,739.0
arunachal-pradesh,2020,2,790104,827.0
arunachal-pradesh,2020,2,791111,744.0
arunachal-pradesh,2020,2,792103,939.0
arunachal-pradesh,2020,3,791110,4213.0
arunachal-pradesh,2020,3,791102,9111.0
arunachal-pradesh,2020,3,791111,5506.0
arunachal-pradesh,2020,3,791112,2281.0
arunachal-pradesh,2020,3,791001,2236.0
arunachal-pradesh,2020,3,791123,1540.0
arunachal-pradesh,2020,3,791113,2236.0
arunachal-pradesh,2020,3,790116,1512.0
arunachal-pradesh,2020,3,792001,796.0
arunachal-pradesh,2020,3,792110,843.0
arunachal-pradesh,2020,4,791113,5383.0
arunachal-pradesh,2020,4,791110,7819.0
arunachal-pradesh,2020,4,791111,4999.0
arunachal-pradesh,2020,4,792110,1981.0
arunachal-pradesh,2020,4,791102,5359.0
arunachal-pradesh,2020,4,790003,10016.0
arunachal-pradesh,2020,4,790001,4355.0
arunachal-pradesh,2020,4,790105,5434.0
arunachal-pradesh,2020,4,790104,2973.0
arunachal-pradesh,2020,4,791109,888.0
arunachal-pradesh,2021,1,791110,32836.0
arunachal-pradesh,2021,1,791111,6658.0
arunachal-pradesh,2021,1,791102,8055.0
arunachal-pradesh,2021,1,791113,9549.0
arunachal-pradesh,2021,1,792103,1983.0
arunachal-pradesh,2021,1,792001,2577.0
arunachal-pradesh,2021,1,790104,8819.0
arunachal-pradesh,2021,1,790116,3646.0
arunachal-pradesh,2021,1,791122,4237.0
arunachal-pradesh,2021,1,791001,3690.0
arunachal-pradesh,2021,2,791110,14352.0
arunachal-pradesh,2021,2,791001,15346.0
arunachal-pradesh,2021,2,791111,39804.0
